WaterLevel,Discharge,MaxVelocity
4.8,163.16,0.25
4.37,146.12,0.25
4.25,120.07,0.23
3.97,113.66,0.22
3.92,105.33,0.21
4.18,127.87,0.23
4.64,152.34,0.25
4.93,178.0,0.26
6.53,272.63,0.3
5.45,198.23,0.27
8.07,614.29,0.48
7.3,494.06,0.43
10.19,550.45,0.45
9.69,701.26,0.26
8.6,474.38,0.18
7.46,356.34,0.2
7.66,332.25,0.21
8.46,458.7,0.22
8.98,509.38,0.24
7.98,391.16,0.21
8.39,427.65,0.22
8.12,394.85,0.21
5.99,273.38,0.19
4.99,186.53,0.18
4.98,124.36,0.15
4.06,104.84,0.15
3.97,80.42,0.13
3.21,69.06,0.12
3.07,67.51,0.13
3.54,76.72,0.12
4.08,93.2,0.14
3.58,75.89,0.11
3.7,83.69,0.12
5.13,121.27,0.14
4.56,141.73,0.11
4.76,123.47,0.11
5.52,177.1,0.17
7.62,328.69,0.19
7.52,327.51,0.19
8.43,337.03,0.18
7.76,368.27,0.19
9.42,466.87,0.23
9.29,370.94,0.19
9.29,373.54,0.19
7.98,315.86,0.18
9.38,424.01,0.22
7.83,306.96,0.18
8.84,480.59,0.24
9.58,504.76,0.25
8.61,242.97,0.18
5.68,227.4,0.17
4.94,186.53,0.18
4.78,142.95,0.15
4.31,125.43,0.15
4.09,104.84,0.15
3.8,104.61,0.14
3.68,93.2,0.14
3.72,133.76,0.17
3.87,148.74,0.18
7.69,388.77,0.2
9.96,607.82,0.26
3.71,75.78,0.12
3.37,58.98,0.11
3.43,64.05,0.12
3.46,74.87,0.13
3.21,47.84,0.11
3.14,40.8,0.08
3.81,80.26,0.14
4.15,136.44,0.17
5.26,176.89,0.18
6.55,166.18,0.14
6.06,146.24,0.13
6.75,256.97,0.22
9.5,366.64,0.21
9.55,506.07,0.24
9.83,543.09,0.27
10.75,792.06,0.34
10.22,648.48,0.31
12.54,21.3,0.35
10.9,838.52,0.36
11.37,1028.32,0.42
11.31,9191.14,0.37
9.05,380.32,0.24
8.97,331.58,0.21
7.32,259.55,0.19
7.53,365.75,0.27
6.16,271.07,0.26
5.76,237.98,0.24
5.29,205.39,0.22
5.0,159.47,0.2
4.42,133.8,0.18
4.54,169.48,9.0
4.16,88.17,8.7
4.06,87.88,0.15
4.53,124.7,0.18
4.5,109.43,0.15
5.85,163.36,0.17
5.9,204.81,0.18
7.31,222.48,0.18
9.77,501.06,0.24
8.46,380.63,0.22
9.75,540.1,0.24
10.7,790.04,0.34
10.73,794.06,0.34
10.61,780.4,0.31
10.92,840.52,0.42
9.99,560.3,0.24
8.26,320.51,0.23
9.19,430.6,0.21
7.3,302.06,0.26
6.26,282.06,0.26
5.89,240.98,0.24
5.95,220.3,0.24
5.22,201.39,0.22
5.18,184.3,0.2
4.79,160.4,0.2
4.6,135.8,0.18
4.2,132.3,0.18
4.17,130.4,0.17
4.65,134.5,0.18
5.94,242.2,0.24
8.24,295.4,0.24
7.08,315.2,0.21
8.51,318.4,0.26
7.73,319.41,0.24
8.67,420.4,0.21
9.55,505.07,0.24
9.6,562.88,0.33
10.03,573.33,0.35
10.56,543.8,0.33
9.26,440.54,0.28
10.6,713.96,0.38
10.88,726.79,0.38
10.92,746.9,0.38
10.07,626.9,0.34
9.95,355.22,0.24
8.08,301.67,0.23
7.09,205.76,0.21
7.76,213.94,0.21
6.27,246.78,0.23
5.56,235.59,0.24
5.28,213.91,0.24
4.85,199.18,0.24
4.67,188.53,0.24
4.54,181.39,0.25
4.58,180.9,0.25
4.39,188.14,0.24
5.91,206.81,0.26
6.16,237.84,0.26
5.37,221.24,0.25
6.04,250.27,0.26
7.03,262.09,0.28
7.09,299.03,0.31
7.99,341.64,0.33
8.96,377.79,0.33
9.8,570.8,0.31
11.05,708.3,0.37
9.81,620.8,0.31
9.87,640.3,0.31
10.08,700.2,0.3
11.08,810.88,0.37
11.48,901.4,0.41
10.8,698.3,0.3
8.62,480.64,0.27
8.42,320.56,0.26
7.19,300.03,0.25
6.95,265.06,0.15
6.48,263.04,0.15
6.28,255.2,0.14
6.01,248.3,0.13
5.73,240.84,0.12
5.51,230.42,0.12
5.45,225.3,0.11
5.58,238.2,0.13
5.77,241.38,0.15
6.37,255.08,0.19
7.89,275.02,0.22
8.69,288.79,0.23
8.3,282.63,0.22
9.27,500.1,0.31
11.5,710.3,0.34
12.55,730.5,0.46
10.81,725.2,0.34
11.35,790.88,0.37
9.25,490.2,0.31
9.29,510.31,0.31
8.69,500.3,0.35
10.5,650.1,0.83
8.87,495.1,0.22
9.94,502.3,0.33
9.74,500.1,0.33
9.69,498.1,0.33
8.87,490.2,0.33
10.22,620.8,0.38
10.61,730.31,0.38
7.95,450.8,0.22
7.68,430.46,0.33
8.0,440.12,0.33
7.22,310.1,0.22
5.91,280.4,0.18
5.91,279.8,0.18
4.88,150.5,0.17
4.31,132.81,0.16
4.02,129.4,0.15
3.73,125.8,0.15
3.54,120.5,0.1
3.8,121.34,0.1
3.61,120.9,0.1
3.89,121.1,0.1
3.77,120.4,0.12
4.45,133.6,0.13
4.48,145.2,0.17
7.78,420.43,0.25
7.21,350.2,0.27
9.48,430.8,0.38
9.52,426.66,0.27
9.6,473.09,0.27
10.02,625.87,0.31
9.72,487.64,0.28
11.53,1023.46,0.38
9.79,490.61,0.28
11.5,675.54,0.31
10.12,383.75,0.26
7.78,249.83,0.24
7.05,181.56,0.21
7.2,1274.13,0.17
5.98,105.8,0.16
5.49,92.95,0.16
5.2,82.23,0.15
5.17,70.55,0.0
4.77,62.31,0.0
